NAME,GEO_ID,total,total_moe,nh_white,nh_white_moe,nh_black,nh_black_moe,nh_native,nh_native_moe,nh_asian,nh_asian_moe,nh_pi,nh_pi_moe,nh_1other,nh_1other_moe,nh_multi,nh_multi_moe,hispanic,hispanic_moe,state,county
"Alameda County, California",0500000US06001,1651949,-555555555,466445,1170,159042,1736,4002,418,528377,2269,11651,588,10314,1134,86873,3145,385245,-555555555,06,001
"Alpine County, California",0500000US06003,1695,234,993,215,0,14,417,27,8,8,0,14,6,11,22,23,249,115,06,003
"Amador County, California",0500000US06005,41029,-555555555,30234,341,781,143,398,112,587,129,26,22,489,298,2153,315,6361,-555555555,06,005
"Butte County, California",0500000US06007,209470,-555555555,139527,767,3550,393,1611,294,11010,497,554,130,1072,543,11317,895,40829,-555555555,06,007
"Calaveras County, California",0500000US06009,45995,-555555555,35599,318,529,140,424,197,1066,238,24,33,3,18,1947,486,6403,-555555555,06,009
"Colusa County, California",0500000US06011,21895,-555555555,6869,133,311,44,154,84,101,159,14,21,172,135,635,196,13639,-555555555,06,011
"Contra Costa County, California",0500000US06013,1161458,-555555555,455961,1843,94864,1594,1806,353,212373,2008,5158,442,7601,1065,66896,2940,316799,-555555555,06,013
"Del Norte County, California",0500000US06015,27293,-555555555,16668,199,805,123,1686,191,821,264,119,73,186,142,1658,378,5350,-555555555,06,015
"El Dorado County, California",0500000US06017,192299,-555555555,142547,589,1522,232,824,186,9640,416,218,88,927,326,9391,829,27230,-555555555,06,017
"Fresno County, California",0500000US06019,1012152,-555555555,273299,979,42060,1334,4074,426,108809,1332,1511,237,4308,798,30422,1865,547669,-555555555,06,019
"Glenn County, California",0500000US06021,28623,-555555555,13918,75,158,126,203,63,777,182,22,43,37,29,876,150,12632,-555555555,06,021
"Humboldt County, California",0500000US06023,135418,-555555555,95115,554,1523,271,4120,459,4101,403,310,160,896,287,10609,866,18744,-555555555,06,023
"Imperial County, California",0500000US06025,179319,-555555555,16894,133,3935,286,1197,161,2287,95,18,15,99,84,1429,379,153460,-555555555,06,025
"Inyo County, California",0500000US06027,18803,-555555555,11094,143,112,61,1532,216,297,90,168,97,111,98,1020,222,4469,-555555555,06,027
"Kern County, California",0500000US06029,910433,-555555555,279058,1456,43962,1084,2829,416,44565,941,1057,169,4350,1264,27156,1699,507456,-555555555,06,029
"Kings County, California",0500000US06031,152830,-555555555,43991,333,9143,331,1107,189,5338,418,295,87,264,135,4832,555,87860,-555555555,06,031
"Lake County, California",0500000US06033,68139,-555555555,44464,433,1314,220,1362,294,710,126,233,39,121,74,3751,629,16184,-555555555,06,033
"Lassen County, California",0500000US06035,31177,-555555555,19131,117,2330,154,671,130,496,84,294,9,89,65,1139,267,7027,-555555555,06,035
"Los Angeles County, California",0500000US06037,9848406,-555555555,2477324,3444,742849,4064,18057,926,1458413,5257,19075,935,57168,3535,322151,6452,4753369,-555555555,06,037
"Madera County, California",0500000US06039,158790,-555555555,48992,365,3846,491,833,251,3773,224,159,44,454,196,4898,606,95835,-555555555,06,039
"Marin County, California",0500000US06041,258765,-555555555,172256,823,5544,534,189,82,15755,693,417,143,2028,589,13448,964,49128,-555555555,06,041
"Mariposa County, California",0500000US06043,17060,-555555555,13030,188,216,77,273,73,271,72,7,12,158,168,764,144,2341,-555555555,06,043
"Mendocino County, California",0500000US06045,90709,-555555555,56350,451,749,215,2465,276,1985,190,81,68,650,315,3989,411,24440,-555555555,06,045
"Merced County, California",0500000US06047,285597,-555555555,69294,488,7773,428,660,197,19976,598,704,125,988,407,7241,769,178961,-555555555,06,047
"Modoc County, California",0500000US06049,8646,-555555555,6502,106,72,51,197,119,103,228,0,19,69,103,382,148,1321,-555555555,06,049
